Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 16:39:37.564,da:3b:72:d6:a6:5f, 2015-1-1 1:0:53.300, 0.754, -0.625, 0.15, -2.075, -0.671, -1.282, -74.284, -47.527, -99.723, -53.075, -24.292, -19.300, 23.76, 0.28772, -0.60193, 0.20932, -0.71481,
 16:39:37.568,da:3b:72:d6:a6:5f, 2015-1-1 1:0:53.300, 0.755, -0.682, 0.128, 1.465, -1.221, 2.991, -74.075, -47.379, -99.899, -53.075, -24.292, -19.300, 23.76, 0.28772, -0.60193, 0.20932, -0.71481,
 16:39:37.569,da:3b:72:d6:a6:5f, 2015-1-1 1:0:53.300, 0.752, -0.694, 0.126, -2.197, -3.662, 2.686, -74.713, -47.164, -99.234, -53.075, -24.292, -19.300, 23.76, 0.28772, -0.60193, 0.20932, -0.71481,
 16:39:37.569,da:3b:72:d6:a6:5f, 2015-1-1 1:0:53.300, 0.728, -0.639, 0.159, -3.845, -0.671, 1.953, -75.707, -46.983, -98.696, -53.075, -24.292, -19.300, 23.76, 0.28772, -0.60193, 0.20932, -0.71481,
 16:39:37.569,da:3b:72:d6:a6:5f, 2015-1-1 1:0:53.300, 0.737, -0.628, 0.151, 1.038, -0.732, -1.587, -76.003, -47.027, -98.503, -53.075, -24.292, -19.300, 23.76, 0.28772, -0.60193, 0.20932, -0.71481,
 16:39:37.569,da:3b:72:d6:a6:5f, 2015-1-1 1:0:53.300, 0.736, -0.651, 0.143, 0.549, 2.319, -3.906, -75.597, -47.241, -98.976, -53.075, -24.292, -19.300, 23.76, 0.28772, -0.60193, 0.20932, -0.71481,
 16:39:37.569,da:3b:72:d6:a6:5f, 2015-1-1 1:0:53.300, 0.726, -0.681, 0.126, -2.93, 4.028, -2.136, -75.037, -47.499, -99.987, -53.075, -24.292, -19.300, 23.76, 0.28772, -0.60193, 0.20932, -0.71481,
 16:39:37.569,da:3b:72:d6:a6:5f, 2015-1-1 1:0:53.300, 0.748, -0.675, 0.127, -4.456, 2.197, -0.549, -75.24, -47.516, -100.294, -53.075, -24.292, -19.300, 23.76, 0.28772, -0.60193, 0.20932, -0.71481,
 16:39:37.569,da:3b:72:d6:a6:5f, 2015-1-1 1:0:53.300, 0.77, -0.642, 0.139, -8.606, 6.226, -4.272, -75.421, -47.664, -101.085, -53.075, -24.292, -19.300, 23.76, 0.28772, -0.60193, 0.20932, -0.71481,
 16:39:37.569,da:3b:72:d6:a6:5f, 2015-1-1 1:0:53.300, 0.73, -0.637, 0.133, -11.963, -5.798, 15.747, -75.619, -47.752, -102.014, -53.075, -24.292, -19.300, 23.76, 0.28772, -0.60193, 0.20932, -0.71481,
 16:39:37.569,da:3b:72:d6:a6:5f, 2015-1-1 1:0:53.300, 0.765, -0.705, 0.086, 6.531, -21.606, 2.075, -77.19, -47.104, -101.085, -53.075, -24.292, -19.300, 23.76, 0.28772, -0.60193, 0.20932, -0.71481,
 16:39:37.594,da:3b:72:d6:a6:5f, 2015-1-1 1:0:53.300, 0.738, -0.642, 0.111, 9.094, 0.244, -20.996, -76.223, -48.164, -100.519, -53.075, -24.292, -19.300, 23.76, 0.28479, -0.60052, 0.21576, -0.71527,
 16:39:37.714,da:3b:72:d6:a6:5f, 2015-1-1 1:0:54.820, 0.78, -0.674, 0.099, 2.075, 2.197, -7.996, -74.784, -49.351, -101.942, -53.075, -24.292, -19.300, 23.76, 0.28479, -0.60052, 0.21576, -0.71527,
 16:39:37.838,da:3b:72:d6:a6:5f, 2015-1-1 1:0:54.820, 0.785, -0.641, 0.099, -1.831, -5.92, -17.7, -74.987, -50.339, -102.189, -53.075, -24.292, -19.300, 23.76, 0.28479, -0.60052, 0.21576, -0.71527,
 16:39:37.926,da:3b:72:d6:a6:5f, 2015-1-1 1:0:54.820, 0.8, -0.594, 0.119, -5.371, -11.536, -5.371, -76.866, -52.059, -100.453, -52.367, -28.967, -18.658, 23.76, 0.28479, -0.60052, 0.21576, -0.71527,
 16:39:37.984,da:3b:72:d6:a6:5f, 2015-1-1 1:0:54.820, 0.798, -0.567, 0.13, 9.521, 0.61, 2.258, -77.179, -52.482, -100.168, -52.367, -28.967, -18.658, 23.76, 0.2402, -0.62311, 0.20679, -0.71497,
 16:39:38.168,da:3b:72:d6:a6:5f, 2015-1-1 1:0:55.180, 0.789, -0.57, 0.123, 0.732, 4.395, -3.235, -75.767, -52.229, -100.992, -52.367, -28.967, -18.658, 23.76, 0.2402, -0.62311, 0.20679, -0.71497,
 16:39:38.194,da:3b:72:d6:a6:5f, 2015-1-1 1:0:55.180, 0.819, -0.588, 0.123, -4.517, 4.639, -6.409, -75.602, -52.355, -101.667, -52.367, -28.967, -18.658, 23.76, 0.2402, -0.62311, 0.20679, -0.71497,
 16:39:38.314,da:3b:72:d6:a6:5f, 2015-1-1 1:0:55.180, 0.805, -0.571, 0.132, -6.042, 8.362, -10.254, -74.652, -53.069, -103.782, -52.175, -30.208, -19.742, 23.76, 0.2402, -0.62311, 0.20679, -0.71497,
 16:39:38.440,da:3b:72:d6:a6:5f, 2015-1-1 1:0:55.565, 0.824, -0.558, 0.129, -9.155, 10.925, -10.132, -73.79, -53.745, -105.804, -52.175, -30.208, -19.742, 23.76, 0.21317, -0.61115, 0.20923, -0.73291,
 16:39:38.523,da:3b:72:d6:a6:5f, 2015-1-1 1:0:55.565, 0.833, -0.562, 0.129, -13.977, 15.015, -12.207, -72.773, -54.514, -108.6, -52.175, -30.208, -19.742, 23.76, 0.21317, -0.61115, 0.20923, -0.73291,
